Rank,Title,Website,Email domain,
203,PBF Energy,http://www.pbfenergy.com,pbfenergy.com,
204,American Electric Power,http://www.aep.com,aep.com,
205,Fiserv,http://www.fiserv.com,fiserv.com,
206,Principal Financial,http://www.principal.com,principal.com,
207,Reinsurance Group of America,http://www.rgare.com,rgare.com,
208,ADP,http://www.adp.com,adp.com,
209,Stanley Black & Decker,http://www.stanleyblackanddecker.com,stanleyblackanddecker.com,
210,Texas Instruments,http://www.ti.com,ti.com,
211,Halliburton,http://www.halliburton.com,halliburton.com,
212,Stryker,http://www.stryker.com,stryker.com,
213,Estee Lauder,http://www.elcompanies.com,elcompanies.com,
214,Corteva,,corteva.com,
215,Freeport-McMoRan,http://www.fcx.com,fcx.com,
216,Qurate Retail,,qurateretailgroup.com,
217,Wayfair,,wayfair.com,
218,Laboratory Corp. of America,http://www.labcorp.com,labcorp.com,
219,Land O’Lakes,http://www.landolakesinc.com,landolakesinc.com,
220,PPG Industries,http://www.ppg.com,ppg.com,
221,Gap,http://www.gapinc.com,gapinc.com,
222,Kellogg,http://www.kelloggcompany.com,kelloggcompany.com,
223,Parker-Hannifin,http://www.parker.com,parker.com,
224,Core-Mark Holding,http://www.core-mark.com,core-mark.com,
225,Jacobs Engineering Group,http://www.jacobs.com,jacobs.com,
226,Edison International,http://www.edisoninvestor.com,edisoninvestor.com,
227,Guardian Life Ins. Co. of America,http://www.guardianlife.com,guardianlife.com,
228,Biogen,http://www.biogen.com,biogen.com,
229,Omnicom Group,http://www.omnicomgroup.com,omnicomgroup.com,
230,Unum Group,http://www.unum.com,unum.com,
231,Lithia Motors,http://www.lithiamotors.com,lithiamotors.com,
232,American Family Insurance Group,http://www.amfam.com,amfam.com,
233,Discover Financial Services,http://www.discover.com,discover.com,
234,Adobe Systems,http://www.adobe.com,adobe.com,
235,Aramark,http://www.aramark.com,aramark.com,
236,Otis Worldwide,,otis.com,
237,Ecolab,http://www.ecolab.com,ecolab.com,
238,AutoZone,http://www.autozone.com,autozone.com,
239,Loews,http://www.loews.com,loews.com,
240,Illinois Tool Works,http://www.itw.com,itw.com,
241,Fidelity National Financial,http://www.fnf.com,fnf.com,
242,Ross Stores,http://www.rossstores.com,rossstores.com,
243,Peter Kiewit Sons’,http://www.kiewit.com,kiewit.com,
244,Equitable Holdings,,equitableholdings.com,
245,WESCO International,http://www.wesco.com,wesco.com,
246,Goodyear Tire & Rubber,http://www.goodyear.com,goodyear.com,
247,Fox,,foxcorporation.com,
248,Leidos Holdings,http://www.leidos.com,leidos.com,
249,Consolidated Edison,http://www.conedison.com,conedison.com,
250,DTE Energy,http://www.dteenergy.com,dteenergy.com,
251,Charles Schwab,http://www.aboutschwab.com,schwab.com,
252,State Street Corp.,http://www.statestreet.com,statestreet.com,
253,Ameriprise Financial,http://www.ameriprise.com,ameriprise.com,
254,Viatris,,viatris.com,
255,Sempra Energy,http://www.sempra.com,sempra.com,
256,Farmers Insurance Exchange,http://www.farmers.com,farmers.com,
